datetime,region,price,load
2023-01-01 00:00:00,North,0.0775,2.737
2023-01-01 01:00:00,North,0.0884,2.594
2023-01-01 02:00:00,North,0.0903,2.598
2023-01-01 03:00:00,North,0.078,2.525
2023-01-01 04:00:00,North,0.091,2.684
2023-01-01 05:00:00,North,0.0879,2.679
2023-01-01 06:00:00,North,0.1773,2.887
2023-01-01 07:00:00,North,0.1761,2.531
2023-01-01 08:00:00,North,0.2065,3.34
2023-01-01 09:00:00,North,0.1832,3.278
2023-01-01 10:00:00,North,0.1001,3.3
2023-01-01 11:00:00,North,0.1012,3.546
2023-01-01 12:00:00,North,0.1027,3.451
2023-01-01 13:00:00,North,0.0946,3.323
2023-01-01 14:00:00,North,0.0926,3.306
2023-01-01 15:00:00,North,0.0933,3.616
2023-01-01 16:00:00,North,0.1044,3.222
2023-01-01 17:00:00,North,0.1954,3.394
2023-01-01 18:00:00,North,0.1517,3.38
2023-01-01 19:00:00,North,0.2113,3.504
2023-01-01 20:00:00,North,0.178,3.982
2023-01-01 21:00:00,North,0.166,2.507
2023-01-01 22:00:00,North,0.1098,2.604
2023-01-01 23:00:00,North,0.1089,2.538
2023-01-02 00:00:00,North,0.0944,2.727
2023-01-02 01:00:00,North,0.0908,2.784
2023-01-02 02:00:00,North,0.0796,2.761
2023-01-02 03:00:00,North,0.0854,2.714
2023-01-02 04:00:00,North,0.0934,2.568
2023-01-02 05:00:00,North,0.0816,2.537
2023-01-02 06:00:00,North,0.2333,2.647
2023-01-02 07:00:00,North,0.1678,2.688
2023-01-02 08:00:00,North,0.2425,3.124
2023-01-02 09:00:00,North,0.1626,3.646
2023-01-02 10:00:00,North,0.1024,3.662
2023-01-02 11:00:00,North,0.109,3.246
2023-01-02 12:00:00,North,0.114,3.219
2023-01-02 13:00:00,North,0.1105,3.411
2023-01-02 14:00:00,North,0.1114,3.725
2023-01-02 15:00:00,North,0.1061,3.494
2023-01-02 16:00:00,North,0.1067,3.346
2023-01-02 17:00:00,North,0.167,3.414
2023-01-02 18:00:00,North,0.1594,3.142
2023-01-02 19:00:00,North,0.2071,3.635
2023-01-02 20:00:00,North,0.247,3.319
2023-01-02 21:00:00,North,0.2318,2.776
2023-01-02 22:00:00,North,0.1008,2.647
2023-01-02 23:00:00,North,0.0994,2.669
2023-01-03 00:00:00,North,0.0776,2.576
2023-01-03 01:00:00,North,0.0788,2.51
2023-01-03 02:00:00,North,0.0801,2.489
2023-01-03 03:00:00,North,0.0783,2.609
2023-01-03 04:00:00,North,0.0899,2.652
2023-01-03 05:00:00,North,0.0877,2.663
2023-01-03 06:00:00,North,0.238,2.892
2023-01-03 07:00:00,North,0.1784,2.592
2023-01-03 08:00:00,North,0.1682,3.517
2023-01-03 09:00:00,North,0.1885,3.393
2023-01-03 10:00:00,North,0.1066,3.237
2023-01-03 11:00:00,North,0.1157,3.707
2023-01-03 12:00:00,North,0.1155,3.422
2023-01-03 13:00:00,North,0.1022,3.091
2023-01-03 14:00:00,North,0.1019,3.447
2023-01-03 15:00:00,North,0.1063,3.34
2023-01-03 16:00:00,North,0.0972,3.522
2023-01-03 17:00:00,North,0.1802,3.374
2023-01-03 18:00:00,North,0.1707,3.494
2023-01-03 19:00:00,North,0.1804,3.425
2023-01-03 20:00:00,North,0.2234,3.271
2023-01-03 21:00:00,North,0.229,2.549
2023-01-03 22:00:00,North,0.1036,2.486
2023-01-03 23:00:00,North,0.1069,2.487
2023-01-04 00:00:00,North,0.0944,2.675
2023-01-04 01:00:00,North,0.0925,2.534
2023-01-04 02:00:00,North,0.0954,2.455
2023-01-04 03:00:00,North,0.0959,2.539
2023-01-04 04:00:00,North,0.086,2.561
2023-01-04 05:00:00,North,0.0927,2.748
2023-01-04 06:00:00,North,0.2253,2.564
2023-01-04 07:00:00,North,0.17,2.642
2023-01-04 08:00:00,North,0.1903,3.355
2023-01-04 09:00:00,North,0.2222,3.537
2023-01-04 10:00:00,North,0.1126,3.699
2023-01-04 11:00:00,North,0.1011,3.934
2023-01-04 12:00:00,North,0.0981,3.138
2023-01-04 13:00:00,North,0.1032,3.664
2023-01-04 14:00:00,North,0.1107,3.55
2023-01-04 15:00:00,North,0.0979,3.669
2023-01-04 16:00:00,North,0.0995,3.471
